relacion_id,documento_id,nombre_archivo,celula,nivel_relacion,servicio_termino_fuente,servicio_normalizado_propuesto,capacidad_termino_fuente,capacidad_normalizada_propuesta,aplicacion_termino_fuente,aplicacion_normalizada_propuesta,tema_editorial_derivado,pagina_fuente,seccion_fuente,evidencia,estado_revision,observaciones,origen_relacion_2A1B,resultado_auditoria_2A1B,estado_uso_2A1B,normalizacion_2A1B_estado,servicio_normalizado_validado_2A1B,capacidad_normalizada_validada_2A1B,aplicacion_normalizada_validada_2A1B,evidencia_verificada_2A1B,correccion_propuesta_2A1B,motivo_auditoria_2A1B,requiere_decision_usuario_2A1B,celula_validada_2A1B,estado_celula_2A1B,usar_como_evidencia_automatica_2A1B,grupo_documental_2A1B,fuente_independiente_2A1B,celula_2A2,estado_celula_2A2,criterio_asignacion_2A2,justificacion_celula_2A2,cambio_celula_vs_2A1B,requiere_revision_manual_celula_2A2,fecha_cierre_2A2
R0043,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,REQUIERE REVISIÓN,PRINCIPAL,EVALUACIÓN DEL HORMIGÓN EN ESTRUCTURAS,Evaluación de hormigón en estructuras,"inspección y análisis de las causas de patologías, y determinamos la resistencia a la compresión equivalente",Análisis de patologías del hormigón,estructuras de hormigón,Estructuras de hormigón,DERIVADO: diagnóstico y mantenimiento,2,ESTRUCTURAS DE HORMIGÓN,"Cita literal p.2: 'Realizamos la inspección y análisis de las causas de patologías, y determinamos la resistencia a la compresión equivalente'.",REQUIERE REVISIÓN,,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Evaluación de hormigón en estructuras,Análisis de patologías del hormigón,Estructuras de hormigón,La fuente declara inspección y análisis de las causas de patologías y determinación de resistencia a la compresión equivalente.,Mantener la relación.,La capacidad está explícita.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0044,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,REQUIERE REVISIÓN,PRINCIPAL,EVALUACIÓN DEL HORMIGÓN EN ESTRUCTURAS,Evaluación de hormigón en estructuras,"Correlacionamos ensayos no destructivos, ultrasonido e índice esclerométrico, con resistencia de ensayos destructivos",Correlación de ensayos destructivos y no destructivos,estructuras de hormigón,Estructuras de hormigón,DERIVADO: innovación metodológica,2,UNIMOS EXPERIENCIA CON INNOVACIÓN,"Cita literal p.2: 'Correlacionamos ensayos no destructivos, ultrasonido e índice esclerométrico, con resistencia de ensayos destructivos. Minimizamos el daño físico a la estructura'.",REQUIERE REVISIÓN,Misma capacidad aparece en DOC-01 p.9 con redacción distinta.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Evaluación de hormigón en estructuras,Correlación de ensayos destructivos y no destructivos,Estructuras de hormigón,"La fuente declara correlación de ensayos no destructivos, ultrasonido e índice esclerométrico con resistencia de ensayos destructivos, junto con minimización del daño físico.",Mantener la capacidad. No fusionarla automáticamente con formulaciones de otros documentos.,La metodología está explícita.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0045,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,INFRA OPERACIÓN MINERA,COMPLEMENTARIA,Evaluamos las materias primas convencionales y no convencionales,Evaluación de materias primas para hormigón,"Como árido: Escorias de diversiones orígenes, relaves, marinas áridos reciclados",Valorización de relaves y marinas como árido,"relaves, marinas",Residuos mineros y marina de túnel,DERIVADO: economía circular,2,Evaluamos las materias primas convencionales y no convencionales,"Cita literal p.2: 'Como árido: Escorias de diversiones orígenes, relaves, marinas áridos reciclados, entre otros'. La página incluye además fotografía de faena minera a rajo abierto.",OK,El texto fuente contiene el error tipográfico 'diversiones orígenes' (probable 'diversos orígenes'); se conserva sin corregir.,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,"La fuente enumera como áridos 'Escorias de diversiones orígenes, relaves, marinas, áridos reciclados, entre otros'. No declara en texto que estos materiales correspondan a residuos mineros o marina de túnel ni asigna el bloque al sector minería.","Normalizar como 'Evaluación de materias primas no convencionales para hormigón: escorias, relaves, marinas y áridos reciclados'. Dejar aplicación sectorial NO IDENTIFICADA.",La normalización 'Residuos mineros y marina de túnel' y la asignación minera agregan significado no textual. La fotografía no basta para completar esa aplicación.,SI,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0046,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,Evaluamos las materias primas convencionales y no convencionales,Evaluación de materias primas para hormigón,"Como material cementicio: puzolana, escoria, geopolímero, cenizas, humo de sílice",Evaluación de materiales cementicios suplementarios,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: economía circular,2,Evaluamos las materias primas convencionales y no convencionales,"Cita literal p.2: 'Como material cementicio: puzolana, escoria, geopolímero, cenizas, humo de sílice, entre otros'.",REQUIERE REVISIÓN,,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,"La fuente enumera como material cementicio: puzolana, escoria, geopolímero, cenizas y humo de sílice.","Cambiar la normalización a 'Evaluación de materiales cementicios: puzolana, escoria, geopolímero, cenizas y humo de sílice' o conservar el término fuente.",La palabra 'suplementarios' no aparece en la fuente y puede estrechar o alterar la categoría técnica declarada.,NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0047,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,Te asesoramos para obtener el hormigón que necesitas,Asesoría en diseño de hormigones especiales,Hormigón proyectado (Shotcrete),Shotcrete,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: soluciones especializadas,2,Te asesoramos para obtener el hormigón que necesitas,Cita literal p.2 (viñeta): 'Hormigón proyectado (Shotcrete)'. El documento no declara aplicación en túnel ni en minería.,REQUIERE REVISIÓN,No se infiere minería pese a que DOC-01 p.5 vincula shotcrete con túneles mineros; documentos distintos no se fusionan.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Asesoría en diseño de hormigones especiales,Shotcrete,NO IDENTIFICADO,La fuente enumera 'Hormigón proyectado (Shotcrete)' dentro de la asesoría para obtener el hormigón requerido.,"Mantener como tipo de hormigón/solución especializada sin asignar minería, túneles u otra aplicación no declarada.",La prestación está explícita y la falta de aplicación sectorial está correctamente preservada.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0048,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,Te asesoramos para obtener el hormigón que necesitas,Asesoría en diseño de hormigones especiales,"Hormigón masivo, Hormigón sumergido, Hormigón autocompactante, Hormigón con fibras, Hormigón resistente a la abrasión, Hormigón en ambientes fríos, Hormigón resistente a químicos, Hormigón prefabricado",Catálogo de hormigones especiales,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: soluciones especializadas,2,Te asesoramos para obtener el hormigón que necesitas,Listado literal de viñetas p.2. Ninguna viñeta declara sector ni activo de destino.,REQUIERE REVISIÓN,,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Asesoría en diseño de hormigones especiales,Catálogo de hormigones especiales,NO IDENTIFICADO,"La fuente enumera hormigón prefabricado, masivo, sumergido, autocompactante, con fibras, resistente a abrasión, ambientes fríos y químicos.","Mantener como catálogo de hormigones especiales, sin sector inferido.",El listado está explícito.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0049,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,Certificación ISO 9001,Sistema de gestión de calidad certificado,Certificación ISO 9001 para evaluación de estructuras de hormigón y evaluación de materias primas,Alcance ISO 9001 declarado,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: cumplimiento normativo,1,Confiabilidad,Cita literal p.1: 'Certificación ISO 9001 para evaluación de estructuras de hormigón y evaluación de materias primas'.,OK,,MAPA_2A1_ORIGINAL,CORRECTO_CON_MATIZ,APTO_CON_MATIZ,ACEPTADA_CON_MATIZ,Sistema de gestión de calidad certificado,Alcance ISO 9001 declarado,NO IDENTIFICADO,La fuente declara 'Certificación ISO 9001 para evaluación de estructuras de hormigón y evaluación de materias primas'.,Mantener exactamente como certificación ISO 9001 con el alcance declarado; no convertirla en acreditación ni ampliar el alcance.,"La relación es fiel al brochure, pero la vigencia de la certificación debe comprobarse antes de reutilización pública.",SI,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0050,DOC-08,Original ficha técnica N°11 - Ingeniería del Hormigón.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,Red de laboratorios acreditados,Red de laboratorios acreditados,acreditados en el INN y resolución MINVU,Acreditación INN y resolución MINVU,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: cumplimiento normativo,1,Confiabilidad,Cita literal p.1: 'Red de laboratorios acreditados en el INN y resolución MINVU'.,OK,MINVU sugiere ámbito de edificación/vivienda; no se fuerza célula por esa sola señal.,MAPA_2A1_ORIGINAL,CORRECTO_CON_MATIZ,APTO_CON_MATIZ,ACEPTADA_CON_MATIZ,Red de laboratorios acreditados,Acreditación INN y resolución MINVU,NO IDENTIFICADO,La fuente declara 'Red de laboratorios acreditados en el INN y resolución MINVU'.,Mantener separadas las naturalezas de las credenciales: acreditación INN y resolución MINVU. No inferir una célula desde MINVU.,"La evidencia está respaldada, pero la vigencia de las credenciales no se verifica en esta auditoría.",SI,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0051,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,PRINCIPAL,INSPECCIÓN DE RIESGO DE INCENDIO,Inspección de riesgo de incendio,"identificar las diferentes vulnerabilidades que puedan amenazar la infraestructura, maquinarias y colaboradores",Identificación de vulnerabilidades ante incendio,cualquier empresa - industria,Empresa o industria,DERIVADO: seguridad de activos,1,Alcance general,"Cita literal p.1: 'Inspección de Riesgo a la propiedad tienen como objetivo principal identificar las diferentes vulnerabilidades que puedan amenazar la infraestructura, maquinarias y colaboradores de cualquier empresa - industria'. Destinatarios declarados p.1: 'Empresas / Industrias / Aseguradoras'.",REQUIERE REVISIÓN,Los destinatarios declarados no corresponden a ninguna de las cinco células; no se fuerza asignación.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Inspección de riesgo de incendio,Identificación de vulnerabilidades ante incendio,Empresa o industria,"La fuente define la inspección de riesgo a la propiedad como identificación de vulnerabilidades que amenazan infraestructura, maquinarias y colaboradores de cualquier empresa-industria.","Mantener servicio, capacidad y aplicación genérica. No validar célula.",La relación está explícitamente respaldada.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0052,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,PRINCIPAL,Servicio de Ingeniería contra incendio,Ingeniería contra incendios,"ingeniería y estudios técnicos en inspecciones, asesorías y seguimiento a implementación de sistemas contra incendio",Estudios y seguimiento de sistemas contra incendio,sistemas contra incendio,Sistemas contra incendio,DERIVADO: seguridad de personas,1,Servicio de Ingeniería contra incendio,"Cita literal p.1: 'Realizamos ingeniería y estudios técnicos en inspecciones, asesorías y seguimiento a implementación de sistemas contra incendio'.",REQUIERE REVISIÓN,Mismo servicio nombrado en DOC-01 p.12 como 'ingeniería contra incendios'.,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,"La fuente declara ingeniería y estudios técnicos en inspecciones, asesorías y seguimiento a implementación de sistemas contra incendio.","Ampliar la capacidad normalizada para conservar inspecciones y asesorías, no solo 'estudios y seguimiento'.",La normalización actual estrecha el alcance declarado.,NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0053,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,PRINCIPAL,Proceso de gestión,Metodología de gestión de riesgo de incendio,Inspección / Evaluación; Ingeniería de riesgo / Análisis; Recomendaciones; Implementación; Seguimiento,Ciclo de cinco etapas de gestión de riesgo,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: método propio,1,Proceso de gestión,Diagrama literal p.1 con las cinco etapas enumeradas.,REQUIERE REVISIÓN,,MAPA_2A1_ORIGINAL,CONTRADICCION_ENTRE_FUENTES,NO_RESUELTO_CONTRADICCION,NO_RESOLVER_POR_INFERENCIA,,,,DOC-02 presenta cinco etapas: Inspección/Evaluación; Ingeniería de riesgo/Análisis; Recomendaciones; Implementación; Seguimiento. DOC-12 presenta seis pasos.,Conservar ambos esquemas como fuente-específicos y no definir un proceso canónico hasta validar vigencia.,Los documentos describen el mismo proceso con estructura distinta.,SI,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0054,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,Factores para análisis del riesgo,Matriz de factores de riesgo de incendio,Características Constructivas; Compartimentación; Procesos; Servicios; Gestiones de riesgo; Sistemas de protección contra incendio; Colindantes – Exposiciones externas; Orden y Limpieza; Control de fuentes de fuego,Nueve factores de análisis,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: método propio,1,Factores para análisis del riesgo,Matriz literal p.1 con los nueve factores enumerados.,REQUIERE REVISIÓN,,MAPA_2A1_ORIGINAL,CONTRADICCION_ENTRE_FUENTES,NO_RESUELTO_CONTRADICCION,NO_RESOLVER_POR_INFERENCIA,,,,DOC-02 usa 'Gestiones de riesgo' como quinto factor; DOC-12 usa 'Protocolos de gestión'. Los otros ocho factores coinciden.,Mantener la nomenclatura de cada fuente y resolver el quinto factor junto con la versión vigente del proceso.,La diferencia textual no puede resolverse por inferencia.,SI,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0055,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,Inspección de riesgo,Inspección de riesgo de incendio,Reducir las primas de seguros,Reducción de prima de seguro,Prima compañía seguros,Aseguradoras,DERIVADO: valor económico,1,Razones que justifican una Inspección de riesgo,Cita literal p.1: 'Prima compañía seguros — Reducir las primas de seguros'.,REQUIERE REVISIÓN,Ángulo asegurador ausente en el resto del corpus revisado hasta ahora.,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,La fuente declara 'Reducir las primas de seguros' como razón/beneficio de una inspección de riesgo.,"Tratarlo como beneficio/resultado declarado, no como capacidad técnica. Mantener 'Prima compañía seguros' como contexto fuente sin inferir una célula.",La jerarquía actual coloca un beneficio comercial en el campo de capacidad.,NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0056,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,INFRA OPERACIÓN MINERA,PRINCIPAL,SERVICIOS INGENIERÍA ACÚSTICA,Servicios de ingeniería acústica,"Estudios de impacto acústico (modelo de propagación de niveles de ruido, mapas de ruido)",Estudio de impacto acústico y mapas de ruido,"proyectos inmobiliarios, industria, minería y energéticos",Proyectos mineros,DERIVADO: licencia social,2,Estudio de Impacto acústico,"Cita literal p.2: 'Estudios de impacto acústico (modelo de propagación de niveles de ruido, mapas de ruido), para proyectos inmobiliarios, industria, minería y energéticos'. Encabezado p.2 declara 'Industria / Minería / Edificación'.",OK,Aplicación minera declarada explícitamente en el propio documento.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Servicios de ingeniería acústica,Estudio de impacto acústico y mapas de ruido,Proyectos mineros,"La fuente declara estudios de impacto acústico con modelos de propagación y mapas de ruido para proyectos inmobiliarios, industria, minería y energéticos.",Mantener relación factual y aplicación minera. No validar todavía la célula.,Minería está explícitamente declarada.,NO,,PENDIENTE_2A2,SI,,SI,INFRA OPERACIÓN MINERA,ASIGNADA_2A2,INTEGRIDAD_INGENIERIA_CONTINUIDAD_MINERIA,"Servicio de integridad, monitoreo, ingeniería, diagnóstico, confiabilidad, continuidad o soporte técnico de activos/operación minera.",SIN_CAMBIO,NO,2026-08-17
R0057,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,PRINCIPAL,SERVICIOS INGENIERÍA ACÚSTICA,Servicios de ingeniería acústica,Desarrollo y evaluación de soluciones de control de ruido y vibraciones,Control de ruido y vibraciones,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: confort y habitabilidad,2,Estudio de Impacto acústico,Cita literal p.2 (viñeta): 'Desarrollo y evaluación de soluciones de control de ruido y vibraciones'.,REQUIERE REVISIÓN,,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Servicios de ingeniería acústica,Control de ruido y vibraciones,NO IDENTIFICADO,La fuente declara desarrollo y evaluación de soluciones de control de ruido y vibraciones.,Mantener la relación.,La capacidad está textual y correctamente jerarquizada.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0058,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,PRINCIPAL,SERVICIOS INGENIERÍA ACÚSTICA,Servicios de ingeniería acústica,Desarrollo de soluciones para cumplimiento de sistema PREXOR,Cumplimiento PREXOR,seguridad y salud ocupacional,Salud ocupacional,DERIVADO: cumplimiento normativo,2,Estudio de Impacto acústico,Cita literal p.2 (viñeta): 'Desarrollo de soluciones para cumplimiento de sistema PREXOR'.,REQUIERE REVISIÓN,PREXOR es protocolo de exposición ocupacional a ruido; el documento no lo explica ni lo asocia a un sector.,MAPA_2A1_ORIGINAL,CORRECTO_CON_MATIZ,APTO_CON_MATIZ,ACEPTADA_CON_MATIZ,Servicios de ingeniería acústica,Cumplimiento PREXOR,Salud ocupacional,La fuente declara desarrollo de soluciones para cumplimiento de sistema PREXOR; también menciona seguridad y salud ocupacional en la misma página.,"Mantener la capacidad, pero no ampliar el significado de PREXOR más allá de lo que explica el brochure. Mantener aplicación genérica.",El documento no define PREXOR ni lo asigna a un sector específico.,NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0059,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,SERVICIOS INGENIERÍA ACÚSTICA,Servicios de ingeniería acústica,Diseño de acondicionamiento interior de recintos de todo tipo,Acondicionamiento acústico interior,recintos de todo tipo,Recintos interiores,DERIVADO: confort y habitabilidad,2,Estudio de Impacto acústico,Cita literal p.2 (viñeta): 'Diseño de acondicionamiento interior de recintos de todo tipo'.,REQUIERE REVISIÓN,"'recintos de todo tipo' es genérico: podría incluir recintos hospitalarios, pero el documento no lo dice.",MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Servicios de ingeniería acústica,Acondicionamiento acústico interior,Recintos interiores,La fuente declara diseño de acondicionamiento interior de recintos de todo tipo.,"Mantener la relación sin inferir hospitalidad, salud u otra célula.",El alcance genérico está explícito.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0060,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,SERVICIOS INGENIERÍA ACÚSTICA,Servicios de ingeniería acústica,"Inspección técnica para proyectos insonorización y vibraciones, tanto para proyectos en etapa de desarrollo, como en ejecución",Inspección técnica de insonorización,proyectos en desarrollo y en ejecución,Proyecto en desarrollo o ejecución,DERIVADO: cumplimiento normativo,2,Estudio de Impacto acústico,Cita literal p.2 (viñeta).,REQUIERE REVISIÓN,,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,La fuente declara inspección técnica para proyectos de insonorización y vibraciones en desarrollo y ejecución.,Cambiar la normalización a 'Inspección técnica de proyectos de insonorización y vibraciones'.,La normalización actual omite el componente de vibraciones.,NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0061,DOC-02,BROCHURE INSPECCIÓN DE RIESGO INCENDIO - ACUSTICA DTC 2023.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,ETAPAS DE UN PROYECTO ACÚSTICO,Metodología de proyecto acústico,CONCEPTO; DISEÑO; ENTREGABLES; IMPLEMENTACIÓN / OPERACIÓN,Ciclo de cuatro etapas de proyecto acústico,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: método propio,2,ETAPAS DE UN PROYECTO ACÚSTICO,Diagrama circular p.2. Incluye 'Modelamiento acústico 3D de recintos' dentro de DISEÑO.,REQUIERE REVISIÓN,'Modelamiento acústico 3D' es candidato digital; la resolución del diagrama limita la transcripción literal completa.,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,"El diagrama visual presenta cuatro etapas: Concepto, Diseño, Entregables e Implementación/Operación.",Usar 'Servicios de ingeniería acústica' como servicio y 'Etapas/metodología de un proyecto acústico' como capacidad/metodología.,"'ETAPAS DE UN PROYECTO ACÚSTICO' es un esquema metodológico, no un servicio.",NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
