knowledge_id,cell,service,capability,application,generation_policy,usage_instruction,taxonomy_statuses,notes,source_relation_ids,document_ids,retrieval_key
KB-IPR-012,INFRA PÚBLICA RESILIENTE,Ingeniería contractual,Apoyo técnico para lograr acuerdo,Obras públicas,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0137 | R0148,DOC-18 | DOC-20,INFRA PÚBLICA RESILIENTE > Ingeniería contractual > Apoyo técnico para lograr acuerdo > Obras públicas
KB-IPR-013,INFRA PÚBLICA RESILIENTE,Ingeniería contractual,Análisis a la programación de la obra,Obras públicas,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0137 | R0148,DOC-18 | DOC-20,INFRA PÚBLICA RESILIENTE > Ingeniería contractual > Análisis a la programación de la obra > Obras públicas
KB-IPR-014,INFRA PÚBLICA RESILIENTE,Ingeniería contractual,Análisis ante término anticipado de contrato,Obras públicas,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0137 | R0148,DOC-18 | DOC-20,INFRA PÚBLICA RESILIENTE > Ingeniería contractual > Análisis ante término anticipado de contrato > Obras públicas
KB-IPR-015,INFRA PÚBLICA RESILIENTE,Ingeniería contractual,,Terminal Internacional Aeropuerto AMB,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA | VALIDADO_2A1B,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0291,DOC-01,INFRA PÚBLICA RESILIENTE > Ingeniería contractual > Terminal Internacional Aeropuerto AMB
KB-IPR-016,INFRA PÚBLICA RESILIENTE,Servicios de Tecnología de la Construcción,Asesoría e innovación para edificación pública,Edificación pública,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0262 | R0275,DOC-16 | DOC-31,INFRA PÚBLICA RESILIENTE > Servicios de Tecnología de la Construcción > Asesoría e innovación para edificación pública > Edificación pública
KB-IPR-017,INFRA PÚBLICA RESILIENTE,Sustentabilidad y Arquitectura,Soluciones de sustentabilidad y arquitectura,Infraestructura y edificación pública,USE_WITH_MATIZ,Puede usarse sólo conservando el matiz/limitación registrada; no ampliar el alcance.,VALIDADO_CON_MATIZ_2A1B,,R0263 | R0276,DOC-16 | DOC-31,INFRA PÚBLICA RESILIENTE > Sustentabilidad y Arquitectura > Soluciones de sustentabilidad y arquitectura > Infraestructura y edificación pública
KB-IPR-018,INFRA PÚBLICA RESILIENTE,Sustentabilidad y Arquitectura,Planes y estudios de cambio climático,Infraestructura territorial/comunal,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0264 | R0277,DOC-16 | DOC-31,INFRA PÚBLICA RESILIENTE > Sustentabilidad y Arquitectura > Planes y estudios de cambio climático > Infraestructura territorial/comunal
KB-IPR-019,INFRA PÚBLICA RESILIENTE,Ingeniería contra incendios,Asesoría y estudios de ingeniería contra incendios,Infraestructura pública/edificación,USE_WITH_MATIZ,Puede usarse sólo conservando el matiz/limitación registrada; no ampliar el alcance.,VALIDADO_CON_MATIZ_2A1B,,R0267 | R0280,DOC-16 | DOC-31,INFRA PÚBLICA RESILIENTE > Ingeniería contra incendios > Asesoría y estudios de ingeniería contra incendios > Infraestructura pública/edificación
KB-IPR-020,INFRA PÚBLICA RESILIENTE,Ingeniería contra incendios,,Terminal Internacional Aeropuerto AMB,USE_WITH_MATIZ,Puede usarse sólo conservando el matiz/limitación registrada; no ampliar el alcance.,VALIDADO_2A1B | VALIDADO_CON_MATIZ_2A1B,,R0290,DOC-01,INFRA PÚBLICA RESILIENTE > Ingeniería contra incendios > Terminal Internacional Aeropuerto AMB
KB-IPR-021,INFRA PÚBLICA RESILIENTE,Servicios de ingeniería acústica,"Ensayos, monitoreo y soluciones acústicas",Edificación pública/entorno,USE_WITH_MATIZ,Puede usarse sólo conservando el matiz/limitación registrada; no ampliar el alcance.,VALIDADO_CON_MATIZ_2A1B,,R0271 | R0284,DOC-16 | DOC-31,"INFRA PÚBLICA RESILIENTE > Servicios de ingeniería acústica > Ensayos, monitoreo y soluciones acústicas > Edificación pública/entorno"
KB-IPR-022,INFRA PÚBLICA RESILIENTE,Evaluación estructural y peritajes,,Puente Viejo Cautín,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0288,DOC-01,INFRA PÚBLICA RESILIENTE > Evaluación estructural y peritajes > Puente Viejo Cautín
KB-IPR-023,INFRA PÚBLICA RESILIENTE,Diagnóstico técnico de obras ejecutadas,Diagnóstico de estado actual,Centro Cultural GAM,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0289,DOC-01,INFRA PÚBLICA RESILIENTE > Diagnóstico técnico de obras ejecutadas > Diagnóstico de estado actual > Centro Cultural GAM
KB-IPR-024,INFRA PÚBLICA RESILIENTE,Ensayos de especialidades,,Terminal Internacional Aeropuerto AMB,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0292,DOC-01,INFRA PÚBLICA RESILIENTE > Ensayos de especialidades > Terminal Internacional Aeropuerto AMB
KB-IHA-001,INFRA HOSPITALARIA Y ASISTENCIAL,Sustentabilidad,GREEN HOSPITAL,,NAME_ONLY_DO_NOT_EXPAND,"Puede mencionarse el término, pero no explicar metodología, alcance, entregable ni equivalencias no documentadas.",TERMINO_FUENTE_NO_DEFINIDO,GREEN HOSPITAL se conserva como término fuente; su alcance técnico no está definido por el brochure.,R0125,DOC-17,INFRA HOSPITALARIA Y ASISTENCIAL > Sustentabilidad > GREEN HOSPITAL
KB-IHA-002,INFRA HOSPITALARIA Y ASISTENCIAL,Ingeniería contractual,Diagnóstico contractual,Salud,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0135 | R0146,DOC-18 | DOC-20,INFRA HOSPITALARIA Y ASISTENCIAL > Ingeniería contractual > Diagnóstico contractual > Salud
KB-IHA-003,INFRA HOSPITALARIA Y ASISTENCIAL,Ingeniería contractual,Análisis de prefactibilidad de un reclamo,Salud,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0135 | R0146,DOC-18 | DOC-20,INFRA HOSPITALARIA Y ASISTENCIAL > Ingeniería contractual > Análisis de prefactibilidad de un reclamo > Salud
KB-IHA-004,INFRA HOSPITALARIA Y ASISTENCIAL,Ingeniería contractual,Apoyo técnico para lograr acuerdo,Salud,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0135 | R0146,DOC-18 | DOC-20,INFRA HOSPITALARIA Y ASISTENCIAL > Ingeniería contractual > Apoyo técnico para lograr acuerdo > Salud
KB-IHA-005,INFRA HOSPITALARIA Y ASISTENCIAL,Ingeniería contractual,Análisis a la programación de la obra,Salud,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0135 | R0146,DOC-18 | DOC-20,INFRA HOSPITALARIA Y ASISTENCIAL > Ingeniería contractual > Análisis a la programación de la obra > Salud
KB-IHA-006,INFRA HOSPITALARIA Y ASISTENCIAL,Ingeniería contractual,Análisis ante término anticipado de contrato,Salud,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0135 | R0146,DOC-18 | DOC-20,INFRA HOSPITALARIA Y ASISTENCIAL > Ingeniería contractual > Análisis ante término anticipado de contrato > Salud
KB-IOM-001,INFRA OPERACIÓN MINERA,Monitoreo geotécnico,Instrumentación y monitoreo remoto de depósitos de relaves,Depósitos de relaves,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0010,DOC-01,INFRA OPERACIÓN MINERA > Monitoreo geotécnico > Instrumentación y monitoreo remoto de depósitos de relaves > Depósitos de relaves
KB-IOM-002,INFRA OPERACIÓN MINERA,Monitoreo geotécnico,Monitoreo remoto,Depósitos de relaves,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0011,DOC-01,INFRA OPERACIÓN MINERA > Monitoreo geotécnico > Monitoreo remoto > Depósitos de relaves
KB-IOM-003,INFRA OPERACIÓN MINERA,Ingeniería de apoyo para proyectos mineros,Levantamiento multidisciplinario de condiciones existentes,Infraestructura minera,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0040,DOC-01,INFRA OPERACIÓN MINERA > Ingeniería de apoyo para proyectos mineros > Levantamiento multidisciplinario de condiciones existentes > Infraestructura minera
KB-IOM-004,INFRA OPERACIÓN MINERA,Ingeniería de apoyo para proyectos mineros,Equipo multidisciplinario con modelación BIM,Infraestructura minera,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0041,DOC-01,INFRA OPERACIÓN MINERA > Ingeniería de apoyo para proyectos mineros > Equipo multidisciplinario con modelación BIM > Infraestructura minera
KB-IOM-005,INFRA OPERACIÓN MINERA,Servicios de ingeniería acústica,Estudio de impacto acústico y mapas de ruido,Proyectos mineros,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0056,DOC-02,INFRA OPERACIÓN MINERA > Servicios de ingeniería acústica > Estudio de impacto acústico y mapas de ruido > Proyectos mineros
KB-IOM-006,INFRA OPERACIÓN MINERA,Servicios a operación minera,Monitoreo de estructuras y equipos,Activos críticos de operación minera,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0077,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Monitoreo de estructuras y equipos > Activos críticos de operación minera
KB-IOM-007,INFRA OPERACIÓN MINERA,Servicios a operación minera,Monitoreo de estructuras y equipos,Activos críticos en faena,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0191,DOC-28,INFRA OPERACIÓN MINERA > Servicios a operación minera > Monitoreo de estructuras y equipos > Activos críticos en faena
KB-IOM-008,INFRA OPERACIÓN MINERA,Servicios a operación minera,Monitoreo de salud estructural,Activos críticos mineros,USE_WITH_MATIZ,Puede usarse sólo conservando el matiz/limitación registrada; no ampliar el alcance.,VALIDADO_CON_MATIZ_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0078,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Monitoreo de salud estructural > Activos críticos mineros
KB-IOM-009,INFRA OPERACIÓN MINERA,Servicios a operación minera,Monitoreo de salud estructural,Activos críticos en faena,USE_WITH_MATIZ,Puede usarse sólo conservando el matiz/limitación registrada; no ampliar el alcance.,VALIDADO_CON_MATIZ_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0192,DOC-28,INFRA OPERACIÓN MINERA > Servicios a operación minera > Monitoreo de salud estructural > Activos críticos en faena
KB-IOM-010,INFRA OPERACIÓN MINERA,Servicios a operación minera,Peritajes de fallas estructurales y mecánicas,Elementos mecánicos,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0079 | R0193,DOC-07 | DOC-28,INFRA OPERACIÓN MINERA > Servicios a operación minera > Peritajes de fallas estructurales y mecánicas > Elementos mecánicos
KB-IOM-011,INFRA OPERACIÓN MINERA,Servicios a operación minera,Peritajes de incendios,,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0079 | R0193,DOC-07 | DOC-28,INFRA OPERACIÓN MINERA > Servicios a operación minera > Peritajes de incendios
KB-IOM-012,INFRA OPERACIÓN MINERA,Servicios a operación minera,Modelamiento digital de estructuras,Instalaciones mineras,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0081,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Modelamiento digital de estructuras > Instalaciones mineras
KB-IOM-013,INFRA OPERACIÓN MINERA,Servicios a operación minera,Modelamiento digital de estructuras,Infraestructura de operación minera,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0196,DOC-28,INFRA OPERACIÓN MINERA > Servicios a operación minera > Modelamiento digital de estructuras > Infraestructura de operación minera
KB-IOM-014,INFRA OPERACIÓN MINERA,Servicios a operación minera,Modelamiento preventivo,Activos críticos de operación minera,NAME_ONLY_DO_NOT_EXPAND,"Puede mencionarse el término, pero no explicar metodología, alcance, entregable ni equivalencias no documentadas.",TERMINO_FUENTE_NO_DEFINIDO,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0082,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Modelamiento preventivo > Activos críticos de operación minera
KB-IOM-015,INFRA OPERACIÓN MINERA,Servicios a operación minera,Modelamiento preventivo,Activos críticos en faena,NAME_ONLY_DO_NOT_EXPAND,"Puede mencionarse el término, pero no explicar metodología, alcance, entregable ni equivalencias no documentadas.",TERMINO_FUENTE_NO_DEFINIDO,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0195,DOC-28,INFRA OPERACIÓN MINERA > Servicios a operación minera > Modelamiento preventivo > Activos críticos en faena
KB-IOM-016,INFRA OPERACIÓN MINERA,Servicios a operación minera,Revisión de cumplimiento normativo,Marcos normativos y corporativos mineros,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0083,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Revisión de cumplimiento normativo > Marcos normativos y corporativos mineros
KB-IOM-017,INFRA OPERACIÓN MINERA,Servicios a operación minera,Tecnología del hormigón,Instalaciones mineras,USE_WITH_MATIZ,Puede usarse sólo conservando el matiz/limitación registrada; no ampliar el alcance.,VALIDADO_CON_MATIZ_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0084,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Tecnología del hormigón > Instalaciones mineras
KB-IOM-018,INFRA OPERACIÓN MINERA,Servicios a operación minera,Ingeniería contra incendios,Instalaciones mineras,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0085,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Ingeniería contra incendios > Instalaciones mineras
KB-IOM-019,INFRA OPERACIÓN MINERA,Servicios a operación minera,Soluciones tecnológicas para el control de productividad,Instalaciones mineras,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0086,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Soluciones tecnológicas para el control de productividad > Instalaciones mineras
KB-IOM-020,INFRA OPERACIÓN MINERA,Servicios a operación minera,Soluciones tecnológicas para el control de productividad,Infraestructura de operación minera,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0199,DOC-28,INFRA OPERACIÓN MINERA > Servicios a operación minera > Soluciones tecnológicas para el control de productividad > Infraestructura de operación minera
KB-IOM-021,INFRA OPERACIÓN MINERA,Servicios a operación minera,Resolución de controversias contractuales,Instalaciones mineras,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,Bloque agrupado separado en capacidades/servicios declarados. | Capacidad explícita conservada. | Capacidad explícita que había sido omitida en la normalización inicial. | No se introduce “digital”. | Se conserva “preventivo”; no se convierte en predictivo. | Término fuente conservado sin definición técnica adicional. | “Servicios de alta especialización” se trata como etiqueta editorial; no se introduce “digital”.,R0087,DOC-07,INFRA OPERACIÓN MINERA > Servicios a operación minera > Resolución de controversias contractuales > Instalaciones mineras
