id,archivo,concepto,celulas,subtemas,disciplina,entorno,orientacion,tipo,derechos,personas,consentimiento,fuente,fecha,tags_libres,notas
PHO-0018,estructuras_peritajes_estructura_incendiada.JPG,incendio;escaneo-láser,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Ingeniería contra incendios;Peritajes y evaluación estructural;Modelamiento y levantamiento digital;Peritajes e inspección estructural,incendios,terreno,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/1fu60EL1QXNtz98x6NbOSrwk-et_KhXSO/view,2023-03-06,incendio;estructura-metálica;escáner-láser;levantamiento,Persona de espaldas sin identificación facial; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0019,estructuras_peritajes_interior_edificio.JPG,inspección-industrial;estructura,INFRA OPERACIÓN MINERA,Monitoreo e integridad estructural;Peritajes e inspección estructural,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1dr7RHXxO4HrVaBy4xOB8d0nS-xKuMYwU/view,2020-12-27,estructura;equipamiento-industrial;inspección;EPP,[Inferencia] entorno minero-industrial probable; personas con EPP sin rasgos faciales identificables; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0020,estructuras_peritajes_puente_cancura1.JPG,puente-colapsado;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1fsA8KSHw0X7xHDXN_lf9mYBg5PZC1R-Y/view,2018-07-18,puente;colapso;daño-estructural;dron;río,Puente vial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0021,estructuras_peritajes_puente_cancura2.JPG,puente-colapsado;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1qrWp43W5O_ZKloa8VRGSGmFojD8nVzlt/view,2018-07-18,puente;colapso;daño-estructural;dron;río,Puente vial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0022,estructuras_peritajes_puente_cancura3.JPG,puente-colapsado;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1GvWjl7-c9r0V9fA1MoTobZgH2q6pQk_2/view,2018-07-18,puente;colapso;daño-estructural;dron;río,Puente vial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0023,estructuras_peritajes_puente_cancura4.JPG,puente-colapsado;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1rMVxcNLyJf7PAMyPCWrXAYMe8ST21TPf/view,2018-07-18,puente;colapso;daño-estructural;dron;río,Puente vial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0024,estructuras_peritajes_puente_cancura5.JPG,puente-colapsado;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1NwPd_fqDMZtFqBLMQf4vMP2DaAxXu7Vf/view,2018-07-18,puente;colapso;daño-estructural;dron;río,Puente vial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0025,estructuras_peritajes_puente_cortez.JPG,puente;inspección,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,V,persona,propia,si,no,https://drive.google.com/file/d/1KMDuV0Z8AhEQspQHOljrYGhXKoXUuyKy/view,2019-05-18,puente;inspección;acero;hormigón;EPP,Personas identificables; consentimiento pendiente de confirmar; puente vial sin cobertura INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0026,estructuras_peritajes_puente_cortez.JPG.JPG,puente;inspección,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,persona,propia,si,no,https://drive.google.com/file/d/12TxaHcgX3d-VLIGN85eniQOD8Q3NewIT/view,2019-05-18,puente;inspección;acero;corrosión;EPP,Personas identificables; consentimiento pendiente de confirmar; puente vial sin cobertura INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0027,estructuras_peritajes_puente_tolten.JPG,puente;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1mDyRKSwIqBAX05jw7teUP3Tnk_B_YUCT/view,2018-06-30,puente;estructura;dron;río;inspección,Puente vial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0028,estructuras_peritajes_puente_tolten2.JPG,puente;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1sv9YGunaK9OQbPYQyTkQ3PkOXEnuJFSp/view,2018-07-10,puente;estructura;dron;río;inspección,Puente vial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0029,estructuras_peritajes_puente_tolten3.jpg,puente-colapsado;daño,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1_B6xsV5cKG_eU4dTdFdTRJqq6tKPCkrz/view,2016-08-20,puente;colapso;daño-estructural;río;estructura-metálica,Imagen con tratamiento de alto contraste; puente vial sin cobertura INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0030,estructuras_peritajes_puente_tolten4.jpg,puente-colapsado;daño,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1vyHsM72ptaqcdJbT7JAvcYXcVQjeMPmk/view,2016-08-20,puente;colapso;daño-estructural;río;estructura-metálica,Imagen con tratamiento de alto contraste; puente vial sin cobertura INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0031,estructuras_peritajes_puente_tolten5.jpg,puente-colapsado;daño,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1-mEj5e2KnxyyhpDWP_-X_HLoRJQgJF-4/view,2016-08-19,puente;colapso;daño-estructural;río;estructura-metálica,Imagen con tratamiento de alto contraste; puente vial sin cobertura INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0032,estructuras_peritajes_puente_tolten6.jpg,puente-colapsado;daño,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1rrk1A0e8jXbdpDAwMj8b7_O-Jqwf6naz/view,2018-07-10,puente;colapso;daño-estructural;río;estructura-metálica,Baja resolución; fecha tomada de metadato de Drive; puente vial sin cobertura INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0033,estructuras_peritajes_puente_tolten7.jpg,puente-colapsado;daño,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/1FCtJQbkNYMdZ2lfxERbBV2ViUhcSL2Sv/view,2018-07-10,puente;colapso;daño-estructural;río;estructura-metálica,Baja resolución; fecha tomada de metadato de Drive; puente vial sin cobertura INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0034,estructuras_peritajes_puente_viejo_cautin_temuco1.JPG,puente-vial;inspección,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1W8UvyvkukfxZplmjwogQEmOrSUlzNTRu/view,2018-06-30,puente;infraestructura-vial;río;inspección,Personas y vehículos a distancia sin identificación facial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0035,estructuras_peritajes_puente_viejo_cautin_temuco1.JPG.JPG,puente-vial;inspección,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/16BNiMFuc4Pr13EeQMERMcgwcPSfZVPlC/view,2018-06-30,puente;infraestructura-vial;río;inspección,Personas y vehículos a distancia sin identificación facial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0036,estructuras_peritajes_puente_viejo_cautin_temuco2.JPG,puente-vial;inspección,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/10nqCBLcA-TQ0lk8uCwb0-7VYkVc1mGdX/view,2018-06-30,puente;infraestructura-vial;río;inspección,Personas y vehículos a distancia sin identificación facial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0037,estructuras_peritajes_puente_viejo_cautin_temuco3.JPG,puente-vial;inspección,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1tqy0rHvpjyUytyGdfNm_ZQIChNhS96py/view,2018-06-30,puente;infraestructura-vial;río;inspección,Personas y vehículos a distancia sin identificación facial; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0038,estructuras_peritajes_puerto.JPG,infraestructura-portuaria;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1cLPmDZs81CBSKjh5NVL-aDsSy0j3YzOy/view,2020-08-06,puerto;muelle;grúas;dron;infraestructura,[Inferencia] puerto asignado a INFRA PÚBLICA RESILIENTE como infraestructura general; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0039,estructuras_peritajes_puerto_2.JPG,infraestructura-portuaria;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1nX5tM3R4OEJut6CvRvKs5BI-w3_Yp9A5/view,2020-08-06,puerto;muelle;grúas;dron;infraestructura,[Inferencia] puerto asignado a INFRA PÚBLICA RESILIENTE como infraestructura general; no se asigna INFRA CRÍTICA TRANSPORTE; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0040,estructuras_peritajes_teniente.JPG,planta-minera;dron,INFRA OPERACIÓN MINERA;LAB MINERO DIGITAL,Modelamiento y levantamiento digital;Monitoreo e integridad estructural;Peritajes e inspección estructural,estructuras,mina,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1eKAljkd9Y34O9aaXmCMs46N50y1ZNUoc/view,2019-06-28,minería;planta;dron;faena;nieve,[Inferencia] LAB MINERO DIGITAL asignada por uso genérico en contexto minero; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0041,estructuras_peritajes_torre_alta_tension.JPG,torre-metálica;levantamiento,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Diagnóstico técnico de obras ejecutadas;Modelamiento y levantamiento digital;Monitoreo e integridad estructural,levantamiento,terreno,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/1cqacewO07jjzAcPe7V6aWuq4C5J6xPSm/view,2022-08-18,torre;estructura-metálica;levantamiento;instrumentación,[Inferencia] activo estructural de uso transversal; el sector específico no puede verificarse visualmente; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0042,generica_dron.jpg,dron;levantamiento,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Tecnología de la construcción;Modelamiento y levantamiento digital,levantamiento,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1h0O5lel8VmbdeYVhJ0C4lHMIfUQ5iqMk/view,2023-09-28,dron;cámara;levantamiento;tecnología,Personas desenfocadas al fondo sin identificación facial; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0043,generica_dron2.jpg,dron;levantamiento,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Tecnología de la construcción;Modelamiento y levantamiento digital,levantamiento,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1xeBEHqBeL5tJDfrKwyTksrxW0mGHe_G5/view,2023-09-28,dron;cámara;levantamiento;tecnología,Personas desenfocadas al fondo sin identificación facial; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0044,generica_idiem_vigas_acero.JPG,vigas-acero;IDIEM,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Inspección y aseguramiento de calidad;Ensayos de especialidades;Confiabilidad de materiales;Cumplimiento normativo,acero,terreno,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/1TMjf-mU8rJ-Ds-O2d1sP0ce9MHISjLUS/view,2022-11-23,acero;vigas;casco-IDIEM;materiales;inspección,[Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0045,generica_profesionales_manejando_dron.jpg,profesionales;dron,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Tecnología de la construcción;Modelamiento y levantamiento digital,levantamiento,terreno,H,persona,propia,si,no,https://drive.google.com/file/d/1JvYLQRDXDm0asAic2BokO4k9hkWB84Ng/view,2023-09-28,dron;profesionales;levantamiento;EPP;tecnología,Personas identificables; consentimiento pendiente de confirmar; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0046,planta_aceros.JPG,planta-acero;fabricación,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Inspección y aseguramiento de calidad;Ensayos de especialidades;Confiabilidad de materiales;Cumplimiento normativo,acero,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/125lUuUu3UFValyUGDY0afuRLuGns98Bh/view,2022-11-23,acero;fabricación;planta-industrial;vigas;materiales,Personas lejanas sin identificación facial; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0047,generico_trabajador_obra_hormigon.jpg,hormigón;obra,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Tecnología de la construcción;Tecnología del hormigón,hormigon,obra,H,persona,licencia_vigente,si,no,https://drive.google.com/file/d/1BSzk4cW3J-mEbMyGREzVIiUzhBctleJs/view,,hormigón;trabajador;EPP;bombeo,Persona identificable. [Inferencia] apariencia de stock; proveedor y licencia no verificables desde Drive.
PHO-0048,generico_planta_industrial.jpg,planta-industrial;proceso,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Diagnóstico técnico de obras ejecutadas;Monitoreo e integridad estructural,estructuras,terreno,H,stock_licenciada,licencia_vigente,no,na,https://drive.google.com/file/d/10IQPXHpNmJYmOqf7PqCmGqe7eZHgs7h_/view,,planta-industrial;silos;acopios;infraestructura,[Inferencia] sector específico y procedencia stock no verificables; clasificación por infraestructura industrial visible.
PHO-0049,generico_ciudad_santiago.jpg,ciudad;arquitectura,INFRA PÚBLICA RESILIENTE,Sustentabilidad y arquitectura,construccion,terreno,H,stock_licenciada,licencia_vigente,no,na,https://drive.google.com/file/d/107_VieMWx6NPM_nlV0pluItLnGMHIT6L/view,,ciudad;edificios;Santiago;skyline,[Inferencia] apariencia de stock; proveedor y licencia no verificables desde Drive.
PHO-0050,generico_modelado_estructura_puente.jpg,modelado-estructural;BIM,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Tecnología de la construcción;Modelamiento y levantamiento digital,levantamiento,oficina,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1FcGNDQBIueQWyMxuzsxSS8o_XubfY-XB/view,,BIM;modelo-3D;estructura;acero,[Inferencia] procedencia propia asignada por contexto de librería técnica; derechos no verificados documentalmente.
PHO-0051,generico_construccion_edificio_obra.jpg,edificio;construcción,INFRA PÚBLICA RESILIENTE,Tecnología de la construcción,construccion,obra,H,stock_licenciada,licencia_vigente,no,na,https://drive.google.com/file/d/1PRspVgdZFrutleVS3HC5vUndqh2TVp9Z/view,,edificio;grúas;obra;construcción,[Inferencia] apariencia de stock; proveedor y licencia no verificables desde Drive.
PHO-0052,generico_modelado_estructura.jpg,modelo-estructural;BIM,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Tecnología de la construcción;Modelamiento y levantamiento digital,levantamiento,oficina,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/157A_fs0lXLIOawLs_D92Ze4C-cczSUFS/view,,BIM;estructura;modelo-3D;acero,[Inferencia] procedencia propia asignada por contexto de librería técnica; derechos no verificados documentalmente.
